#{"t_start": 1736249810.1212168, "env_id": "None"}
r,l,t
-1010.514366,200,93.991269
-22.784716,200,94.040416
-8.780243,200,94.093511
-16.893947,200,94.14311
-34.197171,200,94.190952
-1923.577591,200,94.241743
-260.181246,200,95.340433
-2.096719,200,95.398456
-4.267525,200,95.457008
-1.753278,200,95.507274
-60.072984,200,95.55724
-35.323343,200,95.609882
-0.978769,200,95.656995
-303.623913,200,95.709538
-98.645321,200,95.757169
-6.175676,200,95.807125
-1.585853,200,95.866127
-8.370156,200,97.058018
-27.728134,200,97.121902
-7.915725,200,97.173902
-65.123732,200,97.229327
-1428.942835,200,97.293667
-3.375411,200,97.34043
-36.653292,200,97.390686
-55.735965,200,97.440691
-1369.656193,200,97.490618
-18.148437,200,97.540469
-1523.603806,200,98.572865
-1369.244053,200,98.624862
-1294.596445,200,98.699369
-60.777847,200,98.755761
-1.490477,200,98.809872
-5.209018,200,98.857127
-5.663823,200,98.917223
-83.552782,200,98.973016
-57.122942,200,99.024205
-42.073519,200,99.091491
-66.863646,200,100.356924
-26.125175,200,100.473765
-29.642087,200,100.571564
-952.753562,200,100.673802
-5.329123,200,100.821646
-0.848744,200,100.956986
-9.347941,200,101.075779
-94.807873,200,101.221119
-15.245062,200,101.357181
-22.684144,200,101.456896
-8.559334,200,102.906313
-34.942792,200,102.99141
-123.994451,200,103.061854
-7.470835,200,103.106721
-1374.366632,200,103.160871
-19.050995,200,103.206479
-50.689778,200,103.277591
-4.492541,200,103.341008
-78.965938,200,103.390086
-542.993774,200,103.45677
-2.000804,200,103.507485
-1657.834597,200,104.508786
-27.079611,200,104.592541
-50.515673,200,104.659377
-707.499495,200,104.72432
-1616.055667,200,104.846213
-1.228456,200,104.93064
-61.53277,200,105.032647
-0.599107,200,105.110701
-2.739674,200,105.170797
-0.17338,200,105.236881
-81.128301,200,106.356653
-27.792974,200,106.423231
-0.162092,200,106.487235
-56.488275,200,106.564718
-63.222466,200,106.641227
-17.490578,200,106.709038
-62.996041,200,106.756322
-10.882568,200,106.825725
-95.436991,200,106.887742
-1.819661,200,106.967694
-1088.950187,200,108.115155
-47.366861,200,108.257347
-143.869518,200,108.328317
-963.838072,200,108.389622
-68.230259,200,108.443165
-82.736463,200,108.522915
-164.736625,200,108.622928
-5.551288,200,108.779353
-4.900346,200,108.893013
-72.536574,200,109.006235
-13.315772,200,110.742349
-1817.836122,200,110.807053
-13.310775,200,110.874175
-19.028532,200,110.937178
-0.787748,200,111.000958
-159.657955,200,111.056128
-1656.635796,200,111.133151
-1187.841967,200,111.207764
-5.387852,200,111.290138
-8.722915,200,111.373693
-3.506553,200,111.448926
-10.345568,200,112.538514
-1583.798087,200,112.60315
-9.148923,200,112.656244
-58.297914,200,112.706395
-110.327531,200,112.757023
-49.358425,200,112.82275
-18.426923,200,112.87298
-464.991561,200,112.923028
-7.086395,200,112.984318
-82.80627,200,113.039325
-19.940213,200,114.039437
-24.186336,200,114.106255
-29.94694,200,114.188061
-22.103589,200,114.244606
-46.904825,200,114.289452
-1688.899329,200,114.355887
-4.314782,200,114.406343
